id,original_title,predicted_genres
8839,Casper,['horror']
8856,The Karate Kid Part II,['war']
8871,How the Grinch Stole Christmas,['comedy']
8909,Wanted,['crime']
8914,Deep Blue Sea,['thriller']
8916,Antz,['action']
8920,Garfield,['comedy']
8922,Jeepers Creepers,['western']
8960,Hancock,['crime']
8961,Bad Boys II,"['crime', 'mystery']"
8966,Twilight,['horror']
9016,Treasure Planet,['sci-fi']
9023,Spirit: Stallion of the Cimarron,['western']
9032,Big Daddy,['family']
9062,Love Story,['romance']
9072,Little Man,['biography']
9100,The Craft,['horror']
9257,S.W.A.T.,['crime']
9273,Ace Ventura: When Nature Calls,['adventure']
9285,Road Trip,['mystery']
9286,Final Destination 3,['thriller']
9291,The Longest Yard,['western']
9294,Phenomenon,['sci-fi']
9297,Monster House,['horror']
9303,Bound,['crime']
9313,The Man in the Iron Mask,['war']
9319,The Last Boy Scout,"['mystery', 'crime']"
9325,The Jungle Book,['biography']
9334,The Scorpion King,['history']
9335,Transporter 2,['crime']
9336,Police Academy,['crime']
9339,Click,['family']
9340,The Goonies,['mystery']
9341,The Core,['sci-fi']
9342,The Mask of Zorro,['western']
9352,EuroTrip,['adventure']
9353,Nacho Libre,['crime']
9355,Mad Max Beyond Thunderdome,['action']
9358,Final Destination 2,['thriller']
9360,Anaconda,['adventure']
9361,The Last of the Mohicans,['western']
9362,Tremors,['horror']
9366,Donnie Brasco,"['crime', 'mystery']"
9373,The Texas Chainsaw Massacre,['horror']
9374,Death Becomes Her,['romance']
9377,Ferris Bueller's Day Off,['drama']
9387,Conan the Barbarian,['adventure']
9390,Jerry Maguire,['biography']
9392,The Descent,['adventure']
9398,Zoolander,['crime']
9399,Lionheart,['war']
9408,Surf's Up,['family']
9411,Fallen,['crime']
9426,The Fly,['sci-fi']
9428,The Royal Tenenbaums,['mystery']
9441,Stepmom,['romance']
9444,Anastasia,['history']
9454,EverAfter,['drama']
9471,Charlie's Angels: Full Throttle,['mystery']
9472,DodgeBall: A True Underdog Story,['action']
9475,Scent of a Woman,['biography']
9476,A Knight's Tale,['biography']
9479,The Nightmare Before Christmas,['horror']
9480,Daredevil,['crime']
9487,A Bug's Life,['war']
9495,The Crow,['horror']
9502,Kung Fu Panda,['war']
9509,Man on Fire,['crime']
9522,Wedding Crashers,['romance']
9532,Final Destination,['horror']
9543,Prince of Persia: The Sands of Time,['action']
9552,The Exorcist,['horror']
9567,Tears of the Sun,['war']
9595,Hot Shots!,['action']
9598,Babe,['biography']
9600,Big Momma's House,['crime']
9602,Coming to America,['history']
9603,Clueless,['family']
9614,Happy Gilmore,['biography']
9631,The Negotiator,"['crime', 'mystery']"
9637,Scooby-Doo,['mystery']
9654,The Italian Job,['crime']
9655,She's the Man,['thriller']
9659,Mad Max,['crime']
9679,Gone in Sixty Seconds,['action']
9693,Children of Men,['sci-fi']
9702,Bound by Honor,['biography']
9705,Swordfish,['crime']
9714,Home Alone 3,['mystery']
9715,Hope Floats,['romance']
9732,The Lion King II: Simba's Pride,['romance']
9737,Bad Boys,['crime']
9738,Fantastic Four,['sci-fi']
9739,Demolition Man,['action']
9741,Unbreakable,['horror']
9757,Norbit,['family']
9769,Lolita,['biography']
9778,Serendipity,['romance']
9788,Accepted,['sci-fi']
9792,The Hills Have Eyes,['horror']
9798,Enemy of the State,['crime']
9800,Philadelphia,['family']
9802,The Rock,['war']
9804,Waterworld,['adventure']
9806,The Incredibles,['crime']
9820,The Parent Trap,['family']
9833,The Phantom of the Opera,['crime']
9836,Happy Feet,['musical']
9837,The Prince of Egypt,['family']
9849,My Favorite Martian,['sci-fi']
9880,The Princess Diaries,['family']
9889,Shallow Hal,['family']
9902,Wrong Turn,['western']
9907,Barnyard,['western']
9919,How to Lose a Guy in 10 Days,['romance']
9928,Robots,['sci-fi']
9982,Chicken Little,['action']
10009,Brother Bear,['western']
10020,Beauty and the Beast,['fantasy']
10112,The Aristocats,['mystery']
10138,Iron Man 2,['action']
10144,The Little Mermaid,['fantasy']
10184,He's Just Not That Into You,['romance']
10191,How to Train Your Dragon,['western']
10192,Shrek Forever After,['fantasy']
10193,Toy Story 3,['kids']
10195,Thor,['war']
10198,The Princess and the Frog,['family']
